NAME,RA,DEC,LIT_SPT,SpT. Ref.,Spt Bibcode,Discovery Ref.,Ref Bibcode,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
SDSS J110017.81+011218.6,165.0742340,1.2051820,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J111429.54+072809.5,168.6230850,7.4693070,esdL0,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
CWISE J113010.21+313947.0,172.5418896,31.6624016,d/sdT5.5,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,,,,,,,,,,,,,
CWISE J113019.20−115811.5,172.5800375,-11.9699184,sdT5.5,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Kirkpatrick et al. 2021,https://ui.adsabs.harvard.edu/abs/2021ApJS..253....7K/abstract,,,,,,,,,,,,,
CWISE J113833.47+721207.8,174.6381181,72.2022656,d/sdT7,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,,,,,,,,,,,,,
SDSS J114452.67-031420.4,176.2194763,-3.2389794,esdM7,Lépine et al. 2008b,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,Lépine et al. 2008b,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,,,,,,,,,,,,,
WISEA J114553.61-250657.1,176.4742290,-25.1157092,d/sdM7,Schneider et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...817..112S/abstract,Schneider et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...817..112S/abstract,,,,,,,,,,,,,
2MASS J11582077+0435014,179.5863881,4.5840000,d/sdL8,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,,,,,,,,,,,,,
ULAS J115826.62+044746.8,179.6109366,4.7963890,sdM9.5,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
SDSS J120214.61+073113.7,180.5608652,7.5207729,esdM7,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
CWISE J120444.33−235927.4,181.1843877,-23.9915547,d/sdT7,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,,,,,,,,,,,,,
ULAS J121508.37+040200.5,183.7848140,4.0335832,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
2MASS J12191495+0810307,184.8123102,8.1751871,sdM7,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,Schneider et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...817..112S/abstract,,,,,,,,,,,,,
2MASS J12204296+6205315,185.1787143,62.0919875,sdM7,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,Schneider et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...817..112S/abstract,,,,,,,,,,,,,
2MASS J12270506-0447207,186.7710085,-4.7890517,usdM8.5,Lodieu et al. 2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...628A..61L/abstract,Burgasser et al. 2007,https://ui.adsabs.harvard.edu/abs/2007ApJ...657..494B/abstract,,,,,3000.742,3000.164,3003.202,5.305,5.297,5.309,-1.022,-1.037,-0.992
ULAS J123142.99+015045.4,187.9295683,1.8459204,sdL0,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J123257.20+410723.5,188.2382139,41.1234264,esdM7,Lépine et al. 2008b,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,Lépine et al. 2008b,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,,,,,,,,,,,,,
ULAS J124104.75-000531.4,190.2697960,-0.0920700,sdL0,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J124410.11+273625.8,191.0421180,27.6071780,esdL0.5,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
ULAS J124425.75+102439.3,191.1082044,10.4119942,esdL0.5,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
2MASS J12451711+6016103,191.3212584,60.2695206,sdM8.5,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,Schneider et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...817..112S/abstract,,,,,2928.526,2919.516,2940.839,5.256,5.204,5.287,-0.936,-0.993,-0.822
